
Abandon,छोड़ देना ,chor dena,
Abate,समाप्त करना, samapt karna,
abbreviate,संक्षिप्त करना ,sankshipt karna,
abdicate,त्यागना, tyagana,
abdication,सत्ता त्याग, satta tyagana,
absconder,भगोड़ा, bhagora,
abstract,सार,  saar,
absurdity,fujFkZd,,
academic council,"vdknfed ifj""kn",,
accede,मान लेना, maan lena,
accessory,अनुषंगी, anushangi,
accord,समझौता, samjhauta,
account,लेखा, lekha,
accountable,उत्तरदायी, uttardaayi,
accrue,प्राप्त होना, prapt hona,
accumulate,जमा होना, jama hona,
accuse,असभयोग, asabhayog,
achievement,उपलिब्ध,,
acquire,vftZr,,
acquit,दोषमुक्,,
afford,वहन करना,,
apology,{kमायाचना,,
audit,लेखापfj{kk,,
awareness,जागरूकता,,
bad bargain,अलाभकर,,
bad debt,डूबंत ऋण,,
ban,"fu""ks/k",,
bankrupt,fnokfy;k,,
bare denial,साफ़ इनकार,,
bimonthly report,f}ekfld fjiksZV,,
bribe,fj'or,,
capital,iwath,,
census of population,जनगणना,,
centralization,केंद्रीकरण,,
challenge,चुनौती,,
chaos,घोjअव्यवस्था,,
chapter,अध्याय,,
character,चfरत्र,,
charge sheet,आरोप पत्र,,
check,पडताल,,
cheque,चेक,,
chorus,सहगान,,
chronology,समय dze,,
cipher,कूटभाषा,,
citation,m/nj.k,,
civic,नागरिक,,
command,कमान,,
commit,opuc/n gksuk,,
compassionate ground,अनुकंपा आधार,,
compilation,संकलन,,
comply,अनुपालन करना,,
concern,उद्यम,,
conciliation,सुलह,,
condonation,माफी,,
conduct rules,vkpj.k fनयमावली,,
confer,प्रदान करना,,
control,fनयंत्रण,,
co-opted member.,सहयोfजत सदस्य,,
Cordial ,सौहादुपूण,,
crew,कमीदल,,
criterion,मान दंड,,
culprit,अपराधी,,
cultivation,जुताई,,
curtail,संक्षिप्त,,
cut off marks,न्यूनतम अंक,,
day Scholar,अनाokसी छात्र,,
decorum,मयkZदा,,
demolish,ध्वस्त करना,,
demolition,ढहाना,,
depressed class,शोfषत वZग,,
derogation,अवमानना ,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
